Region,Crop,VoP,Rank,Label,Country,iso3,version
SEA,sweet potato,10436251,7,SEA-Malaysia-sweet potato-7,Malaysia,MYS,2020
SEA,cassava,9667212,8,SEA-Malaysia-cassava-8,Malaysia,MYS,2020
SEA,sugarcane,5761738,9,SEA-Malaysia-sugarcane-9,Malaysia,MYS,2020
SEA,tobacco,4679470.5,10,SEA-Malaysia-tobacco-10,Malaysia,MYS,2020
SEA,cocoa,2512640.25,11,SEA-Malaysia-cocoa-11,Malaysia,MYS,2020
SEA,groundnut,292047.6875,12,SEA-Malaysia-groundnut-12,Malaysia,MYS,2020
SEA,bean,19336.158203125,13,SEA-Malaysia-bean-13,Malaysia,MYS,2020
SEA,barley,6910.7998046875,14,SEA-Malaysia-barley-14,Malaysia,MYS,2020
SEA,potato,4242.404296875,15,SEA-Malaysia-potato-15,Malaysia,MYS,2020
SEA,soybean,216.24137878418,16,SEA-Malaysia-soybean-16,Malaysia,MYS,2020
